Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
466,Qadree Ollison\OlliQa00,ATL,23,,8,0,2,1,50.0%,7,7.0,0,1,7,3.5,0.1,0.9,1
467,Ricky Ortiz\OrtiRi00,NOR,25,,1,0,1,1,100.0%,8,8.0,0,0,8,8.0,1.0,8.0,0
468,Paul Perkins\PerkPa00,DET,25,,4,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.3,2.3,0
469,Senorise Perry\PerrSe00,BUF,28,,11,0,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,0
470,David Quessenberry\QuesDa00,TEN,29,,4,0,1,1,100.0%,1,1.0,1,1,1,1.0,0.3,0.3,0
471,Elandon Roberts\RobeEl00,NWE,25,/il,16,3,1,1,100.0%,38,38.0,1,1,38,38.0,0.1,2.4,0
472,Ty Sambrailo\SambTy00,ATL,27,,13,0,1,1,100.0%,35,35.0,1,1,35,35.0,0.1,2.7,0
473,Jason Sanders\SandJa00,MIA,24,,16,0,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0
474,Bo Scarbrough\ScarBo01,DET,25,rb,6,5,4,1,25.0%,5,5.0,0,0,5,1.3,0.2,0.8,1
475,Dalton Schultz\SchuDa00,DAL,23,,16,0,2,1,50.0%,6,6.0,0,0,6,3.0,0.1,0.4,0
476,Jaleel Scott\ScotJa02,BAL,24,,3,0,3,1,33.3%,6,6.0,0,0,6,2.0,0.3,2.0,0
477,Nick Scott\ScotNi01,LAR,24,,16,0,1,1,100.0%,23,23.0,0,1,23,23.0,0.1,1.4,0
478,Darrius Shepherd\ShepDa00,GNB,24,,6,0,2,1,50.0%,1,1.0,0,0,1,0.5,0.2,0.2,1
479,Jeff Smith\SmitJe03,NYJ,22,,1,0,2,1,50.0%,12,12.0,0,1,12,6.0,1.0,12.0,0
480,Keith Smith\SmitKe03,ATL,27,fb,16,5,3,1,33.3%,13,13.0,0,1,13,4.3,0.1,0.8,0
481,Tyrone Swoopes\SwooTy00,SEA,25,,5,2,1,1,100.0%,5,5.0,0,0,5,5.0,0.2,1.0,0
482,Wyatt Teller\TellWy00,CLE,25,RG,15,9,1,1,100.0%,-5,-5.0,0,0,-5,-5.0,0.1,-0.3,0
483,De'Anthony Thomas\ThomDe05,2TM,26,,14,0,2,1,50.0%,6,6.0,0,0,6,3.0,0.1,0.4,3
484,Jordan Thomas\ThomJo05,HOU,23,,5,2,3,1,33.3%,8,8.0,0,0,8,2.7,0.2,1.6,0
485,Eric Tomlinson\TomlEr01,3TM,27,,8,3,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,0
486,John Ursua\UrsuJo00,SEA,25,,3,0,1,1,100.0%,11,11.0,0,1,11,11.0,0.3,3.7,0
487,Vita Vea\VeaxVi00,TAM,24,NT,16,16,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0
488,Dwayne Washington\WashDw00,NOR,25,,16,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.4,0
489,Deshaun Watson*\WatsDe00,HOU,24,QB,15,15,1,1,100.0%,6,6.0,1,1,6,6.0,0.1,0.4,10
490,Kerrith Whyte Jr\WhytKe00,PIT,23,,6,0,1,1,100.0%,9,9.0,0,1,9,9.0,0.2,1.5,0
491,Christian Wilkins\WilkCh00,MIA,24,RDE,16,14,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,1
