Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
187,Melvin Ingram*\IngrMe00,LAC,30,RDE,13,13,1,9,0,9,5,0,0,1,2,0,7.0,48,39,9,11,12,
188,Adoree' Jackson\JackAd00,TEN,24,RCB,11,10,0,0,0,0,6,0,1,0,0,0,0.0,45,39,6,3,0,
189,Taron Johnson\JohnTa01,BUF,23,DB,12,7,0,0,0,0,5,1,0,0,0,0,1.0,50,39,11,2,1,
190,Jamal Perry\WiltJo01,MIA,25,db,14,6,1,0,0,0,6,,,,,,0.0,58,39,19,2,0,
191,Buster Skrine\SkriBu00,CHI,30,,16,4,0,0,0,0,5,2,,,,,0.0,48,39,9,1,2,
192,Patrick Chung\ChunPa99,NWE,32,SS,13,12,0,0,0,0,3,,,,,,0.0,51,38,13,1,0,
193,Jarrad Davis\DaviJa01,DET,25,MLB,11,11,0,0,0,0,1,3,0,1,0,0,2.0,63,38,25,4,5,
194,Pierre Desir\DesiPi00,IND,29,CB/RCB,12,11,3,0,0,0,11,,,,,,0.0,50,38,12,1,0,
195,Chauncey Gardner-Johnson\GardCh00,NOR,22,db,16,7,1,28,0,28,8,1,0,1,37,0,0.0,49,38,11,6,4,
196,Grady Jarrett*\JarrGr00,ATL,26,LDT,16,16,,,,,,2,0,0,0,0,7.5,69,38,31,12,16,
197,Jonathan Jones\JoneJo03,NWE,26,DB,15,9,0,0,0,0,8,2,,,,,0.0,53,38,15,0,0,
198,Karl Joseph\JoseKa00,OAK,26,SS,9,9,1,0,0,0,3,0,0,1,0,0,0.0,49,38,11,4,2,
199,Jourdan Lewis\LewiJo01,DAL,24,db,16,5,2,20,0,20,6,0,0,1,63,1,4.0,51,38,13,4,4,
200,Avonte Maddox\MaddAv00,PHI,23,lcb,12,6,0,8,0,8,10,1,0,0,0,0,1.0,47,38,9,2,2,
201,Denzel Ward\WardDe02,CLE,22,LCB,12,12,2,61,1,61,11,0,0,1,0,0,0.0,44,38,6,1,1,
202,Bashaud Breeland\BreeBa00,KAN,27,LCB,16,15,2,4,0,4,8,0,0,2,114,1,0.0,48,37,11,1,1,
203,Calais Campbell*\CampCa99,JAX,33,DE/RDE,16,16,0,0,0,0,1,2,0,1,8,1,6.5,56,37,19,10,25,
204,Maurice Canady\CanaMa00,2TM,25,,13,3,1,3,0,3,5,1,0,0,0,0,0.0,46,37,9,1,0,
205,Tashaun Gipson\GipsTa00,HOU,29,SS,14,14,3,105,1,79,8,,,,,,0.0,51,37,14,2,3,
206,Markus Golden\GoldMa00,NYG,28,DE/LOLB,16,16,,,,,,0,0,1,42,1,10.0,72,37,35,13,27,
207,Shaun Dion Hamilton\DionSh00,WAS,24,,16,0,1,0,0,0,2,1,0,1,0,0,1.0,49,37,12,5,2,
208,Byron Jones\JoneBy00,DAL,27,CB/RCB,15,14,0,0,0,0,6,1,,,,,0.0,46,37,9,0,0,
209,Cameron Jordan*\JordCa00,NOR,30,LDE,16,16,0,0,0,0,3,0,0,1,0,0,15.5,53,37,16,15,25,
210,Sean Murphy-Bunting\BuntSe00,TAM,22,rcb,16,10,3,88,1,70,8,1,0,0,0,0,1.0,44,37,7,1,0,
